material_id,material_name,category,scenario,engineering_score,ml_score,hybrid_score,selected
119,Gr. 25 Standard Concrete Foundation,Foundation,Residential - Colombo,82.0,0.34,57.5,No
120,Gr. 30 Marine-Grade Concrete Foundation,Foundation,Residential - Colombo,85.2,0.66,59.84,No
121,Eco-Concrete Foundation (30% Recycled Aggregate),Foundation,Residential - Colombo,83.7,0.54,58.75,No
122,Raft Foundation Assembly (RC Heavy),Foundation,Residential - Colombo,64.8,2.55,46.12,No
123,Lime-Pozzolan Natural Foundation,Foundation,Residential - Colombo,85.3,57.52,76.97,Yes
124,Gr. 25 Standard Structural Concrete,Concrete,Residential - Colombo,78.1,2.33,55.37,No
125,Gr. 30 Marine-Grade Concrete Mix,Concrete,Residential - Colombo,82.8,0.42,58.09,No
126,Eco-Concrete (Recycled Aggregate + Fly-Ash),Concrete,Residential - Colombo,77.7,1.72,54.91,No
127,Self-Compacting Concrete (SCC),Concrete,Residential - Colombo,61.2,19.8,48.78,No
128,Epoxy-Coated Rebar (ASTM A775),Structural,Residential - Colombo,82.5,0.79,57.99,No
129,TMT High-Yield Rebar (SLS 375),Structural,Residential - Colombo,81.6,0.72,57.34,No
130,Galvanized Steel Rebar (Hot-Dip),Structural,Residential - Colombo,82.0,0.5,57.55,No
131,Stainless Steel Rebar (Grade 316L),Structural,Residential - Colombo,62.1,1.74,43.99,No
132,GFRP Rebar (Glass Fibre Reinforced Polymer),Structural,Residential - Colombo,83.2,10.07,61.26,No
133,Wire-Cut Clay Brick (Premium Grade),Walling,Residential - Colombo,81.8,5.33,58.86,No
134,AAC Eco-Block G4 (Autoclaved Aerated Concrete),Walling,Residential - Colombo,74.0,4.68,53.2,No
135,High-Density Cement Block,Walling,Residential - Colombo,66.0,5.38,47.81,No
136,CSEB Compressed Stabilized Earth Block,Walling,Residential - Colombo,79.9,68.92,76.61,No
137,Hollow Clay Block (Perforated),Walling,Residential - Colombo,75.6,2.69,53.73,No
138,Fly-Ash Composite Block,Walling,Residential - Colombo,73.4,2.83,52.23,No
139,Marine-Grade Aluminium Roofing (0.55mm),Roofing,Residential - Colombo,56.3,4.24,40.68,No
140,Portuguese Clay Tile (Unglazed Terracotta),Roofing,Residential - Colombo,63.1,3.3,45.16,No
141,Insulated Sandwich Roof Panel (PU Core),Roofing,Residential - Colombo,38.4,5.74,28.6,No
142,Standard Cement Tile (Concrete Interlocking),Roofing,Residential - Colombo,51.8,9.27,39.04,No
143,Zinc-Aluminium Corrugated Sheet (55% Al-Zn),Roofing,Residential - Colombo,56.2,6.53,41.3,No
144,Green Intensive Roof System (Growing Medium),Roofing,Residential - Colombo,43.8,61.27,49.04,No
145,Polycarbonate Translucent Roofing,Roofing,Residential - Colombo,26.1,1.83,18.82,No
146,Recycled Rubber Flat Roof Membrane,Roofing,Residential - Colombo,50.5,4.7,36.76,No
147,uPVC Multi-Chamber Window System,Windows,Residential - Colombo,62.1,80.84,67.72,No
148,Casement Aluminium Window (Powder-Coated),Windows,Residential - Colombo,55.4,1.36,39.19,No
149,Timber Louvre Window (Treated Hardwood),Windows,Residential - Colombo,55.4,1.28,39.16,No
